Kelas',Contrast red cytoplasm',Contrast green cytoplasm',Contrast blue cytoplasm',Intensity red cytoplasm',Intensity green cytoplasm',Intensity blue cytoplasm',Entropy red cytoplasm',Entropy green cytoplasm',Entropy blue cytoplasm',Smoothness red cytoplasm',Smoothness green cytoplasm',Smoothness blue cytoplasm',Uniform red cytoplasm',Uniform green cytoplasm',Uniform blue cytoplasm',Third moment red cytoplasm',Third moment green cytoplasm',Third moment blue cytoplasm',Area cytoplasm',Mayor axis length cytoplasm',Minor axis length cytoplasm',Ecentricity cytoplasm',Orientation cytoplasm',Equivalent diameter cytoplasm',Solidity cytoplasm',Extent cytoplasm',Perimeter cytoplasm',EulerNumber cytoplasm',Circularity cytoplasm',ConvexArea cytoplasm',Contrast red nukleus',Contrast green nukleus',Contrast blue nukleus',Intensity red nukleus',Intensity green nukleus',Intensity blue nukleus',Entropy red nukleus',Entropy green nukleus',Entropy blue nukleus',Smoothness red nukleus',Smoothness green nukleus',Smoothness blue nukleus',Uniform red nukleus',Uniform green nukleus',Uniform blue nukleus',Third moment red nukleus',Third moment green nukleus',Third moment blue nukleus',Area nukleus',Mayor axis length nukleus',Minor axis length nukleus',Ecentricity nukleus',Orientation nukleus',Equivalent diameter nukleus',Solidity nukleus',Extent nukleus',Perimeter nukleus',EulerNumber nukleus',Circularity nukleus',ConvexArea nukleus'
Data H-Sil (Sudah Dipisah),71,95,68,196.5520833,163.1901042,164.7005208,6.440667012,7.013764973,6.728822128,0.984891872,0.961577989,0.97871008,0,0,0,-1.060399484,-0.274785265,-0.306039302,919,45.38778943,40.22411348,0.46324158,88.78212882,34.20682887,0.797743056,0.797743056,128.996,0,0.694021442,1152,68,93,65,157.3188854,104.9907121,120.3095975,6.404969383,6.326111233,5.881044467,0.986302675,0.9800312,0.99010582,12170,5930,7375,0.766165004,1.801059077,1.955444342,26,9.705794732,4.290109985,0.8970075,70.44656165,5.753627392,0.896551724,0.577777778,20.576,1,0.771722761,29
Data H-Sil (Sudah Dipisah),73,96,94,215.0296053,185.1927632,166.7072368,5.807342281,6.563441205,6.716423533,0.992304007,0.981119384,0.978799965,0,0,0,-1.619482699,-0.289144119,-0.262573224,1481,46.56712367,44.03875427,0.325026698,-1.17116949,43.42427623,0.974342105,0.974342105,148.596,-5,0.842850764,1520,47,49,48,149.6666667,104.9333333,103.5333333,4.506890596,4.640223929,4.748394346,0.991185954,0.991051973,0.992470928,7474,5126,5243,0.365120936,0.054765564,-1.03129674,8,6.009036702,2.511601994,0.908460453,18.57914839,3.191538243,0.888888889,0.533333333,10.379,1,0.933230292,9
Data H-Sil (Sudah Dipisah),68,94,77,215.3751687,187.0512821,183.6862348,5.600574239,6.590962539,6.339211375,0.993027225,0.969812066,0.982691532,0,0,0,-2.259939332,-0.771382239,-0.959839078,1409,45.86550219,44.46487627,0.245240302,-73.65879808,42.35557246,0.95074224,0.95074224,146.636,-2,0.823454575,1482,63,89,69,170.2857143,111.35,121.8642857,6.007435517,6.12639996,5.881353485,0.98314593,0.973916628,0.986103154,6855,3202,3557,0.129390435,1.103514447,1.339454279,25,9.306977545,4.60560915,0.868975271,64.38593905,5.641895835,0.862068966,0.520833333,20.485,1,0.748648461,29
Data H-Sil (Sudah Dipisah),75,101,85,213.7385809,188.3191612,182.8911232,5.741518411,6.123663397,6.22449134,0.990973694,0.970283469,0.980438832,0,0,0,-1.471970473,-0.398868057,-0.590906101,3356,69.27817895,67.69749401,0.212396774,54.18126179,65.36812612,0.964090779,0.964090779,226.996,-2,0.818456133,3481,53,50,42,152.19,97,103.55,5.67366069,5.771014065,5.435916315,0.98919915,0.991562254,0.995090802,25500,25500,25500,0.36552246,-0.071065956,0.488915223,1,1.154700538,1.154700538,0,0,1.128379167,1,1,0,1,65535,1
Data H-Sil (Sudah Dipisah),72,97,82,213.6690606,187.335823,184.1128986,6.007046987,6.390774424,6.289276411,0.99141227,0.970834706,0.981726437,0,0,0,-1.41218206,-0.407998865,-0.559030219,3363,69.21835995,67.7598737,0.204199957,56.84997934,65.43626356,0.966101695,0.966101695,226.996,-2,0.820163282,3481,47,42,33,153.3333333,94.18518519,104.6049383,5.595841824,5.439925892,5.182140898,0.989126078,0.992993645,0.997193719,20655,20655,20655,0.459904727,0.053730867,0.437094946,1,1.154700538,1.154700538,0,0,1.128379167,1,1,0,1,65535,1
Data H-Sil (Sudah Dipisah),91,112,94,212.0724698,186.0724698,178.5718451,5.814705845,6.34214901,6.442443837,0.984040427,0.96192885,0.977873075,0,0,0,-1.882937751,-0.847513569,-0.78781116,2107,60.09830681,55.92247112,0.366249762,-58.52787376,51.79493914,0.87755102,0.87755102,187.796,-1,0.750761035,2401,73,99,81,166.2784314,115.6980392,129.5294118,6.271933526,6.394225083,6.281244044,0.976977788,0.967170212,0.981539559,618,405,456,0.43146145,1.013115058,0.829289879,102,25.61378579,17.76068296,0.720549719,37.65562483,11.39607097,0.423236515,0.4,88.358,1,0.164179255,241
Data H-Sil (Sudah Dipisah),62,98,77,230.275,188.5195,193.263,5.226658369,6.290522906,6.165322562,0.995276951,0.976571393,0.986928671,0,0,0,-3.252032312,-0.504144252,-0.611305212,1952,58.38962643,46.64796566,0.601452655,-89.78871593,49.85342106,0.976,0.976,172.116,0,0.828032129,2000,55,66,48,169.2820513,98.38461538,125.8461538,5.360543687,5.528741321,5.304257026,0.979514633,0.979302232,0.988620885,19890,19890,19890,0.654312872,0.685712739,0.553735635,3,2.581988897,1.763834207,0.730296743,45,1.954410048,1,0.75,3.093,1,3.940680989,3
Data Koilocyt(Sudah Dipisah),91,93,77,210.3434685,198.5101351,208.2263514,6.335855959,6.439514349,6.015003135,0.991013119,0.989297242,0.994981557,0,0,0,-1.230567608,-0.755304346,-0.912459176,1763,55.60992518,42.85993266,0.637168518,0.062159622,47.37849003,0.99268018,0.99268018,162.316,-2,0.840890629,1776,91,93,77,158.2,157,179.9333333,3.906890596,3.906890596,3.906890596,0.942695387,0.938927188,0.957379413,3825,3825,3825,0.319513881,0.308920673,0.151775039,1,1.154700538,1.154700538,0,0,1.128379167,1,1,0,1,65535,1
Data Koilocyt(Sudah Dipisah),100,99,101,205.6995224,204.0104212,203.2557534,6.402524094,6.385045362,6.340433617,0.979861394,0.977534252,0.986514612,0,0,0,-0.589064494,-0.457497607,-0.808522042,2258,56.5664134,54.58125819,0.262596404,88.98106623,53.61879234,0.980460269,0.980460269,183.876,-20,0.839235229,2303,82,79,75,154.4375,159.0625,158.625,3.875,4,4,0.96332483,0.964938288,0.968194146,2773,2828,2993,0.505407578,0.603906311,0.345960645,11,5.439926219,3.922743808,0.692828507,32.91044643,3.742410319,0.785714286,0.6875,14.696,1,0.640035794,14
Data Koilocyt(Sudah Dipisah),88,89,82,203.912013,193.4646104,199.5587662,6.282896689,6.39227617,5.940948136,0.991452374,0.989769421,0.995671597,0,0,0,-0.482309634,-0.247015169,-0.586968678,3069,64.65394487,63.54838773,0.184138046,-86.59905157,62.51057641,0.996428571,0.996428571,213.276,-3,0.847857329,3080,88,89,82,155.8125,150,161.3125,4,3.875,3.875,0.952848297,0.953031184,0.957321414,4080,4080,4080,0.187896303,0.218981821,0.173768022,3,2.581988897,1.763834207,0.730296743,-45,1.954410048,1,0.75,3.093,1,3.940680989,3
